date,nav
2019-08-28,136.7531
2019-08-29,135.9549
2019-08-30,133.1812
2019-09-02,133.7020
2019-09-03,134.1131
2019-09-04,133.1771
2019-09-05,134.6115
2019-09-06,135.6357
2019-09-09,134.0593
2019-09-10,134.9355
2019-09-11,134.6608
2019-09-12,132.3071
2019-09-13,133.0682
2019-09-16,133.0382
2019-09-17,131.8907
2019-09-18,132.7602
2019-09-19,133.5799
2019-09-20,132.6966
2019-09-23,133.3762
2019-09-24,135.0432
2019-09-25,133.9312
2019-09-26,134.5858
2019-09-27,134.6330
2019-09-30,138.3367
2019-10-01,135.2891
2019-10-02,136.4608
2019-10-03,136.0027
2019-10-04,135.8823
2019-10-07,139.0262
2019-10-08,139.0560
2019-10-09,142.8395
2019-10-10,142.1270
2019-10-11,142.7699
2019-10-14,141.9743
2019-10-15,140.8427
2019-10-16,140.9930
2019-10-17,140.5597
2019-10-18,140.9458
2019-10-21,137.4302
2019-10-22,140.7763
2019-10-23,140.5388
2019-10-24,143.5228
2019-10-25,141.8339
2019-10-28,142.3768
2019-10-29,147.8294
2019-10-30,146.3334
2019-10-31,143.7541
2019-11-01,142.8570
2019-11-04,143.7123
2019-11-05,144.9537
2019-11-06,147.2442
2019-11-07,146.8368
2019-11-08,144.0602
2019-11-11,143.3539
2019-11-12,145.5329
2019-11-13,146.3923
2019-11-14,143.0010
2019-11-15,142.9863
2019-11-18,145.4307
2019-11-19,149.1880
2019-11-20,150.2410
2019-11-21,150.8463
2019-11-22,148.6492
2019-11-25,147.1922
2019-11-26,147.3218
2019-11-27,148.2582
2019-11-28,149.3375
2019-11-29,148.5279
2019-12-02,146.5219
2019-12-03,145.2009
2019-12-04,143.2310
2019-12-05,144.3824
2019-12-06,140.4220
2019-12-09,139.9050
2019-12-10,140.7047
2019-12-11,143.3192
2019-12-12,143.4873
2019-12-13,145.2569
2019-12-16,144.6075
2019-12-17,143.3617
2019-12-18,142.2470
2019-12-19,144.8993
2019-12-20,146.6740
2019-12-23,147.5785
2019-12-24,153.5230
2019-12-25,153.5122
2019-12-26,154.7037
2019-12-27,155.3238
2019-12-30,154.9596
2019-12-31,159.3157
2020-01-01,162.2466
2020-01-02,159.5734
2020-01-03,158.8584
2020-01-06,159.7253
2020-01-07,161.2772
2020-01-08,158.7187
2020-01-09,154.4731
2020-01-10,150.9883
2020-01-13,150.9074
2020-01-14,150.7684
2020-01-15,151.4409
2020-01-16,150.0902
2020-01-17,147.9329
2020-01-20,144.3886
2020-01-21,145.0048
2020-01-22,145.6947
2020-01-23,147.4771
2020-01-24,148.9234
2020-01-27,148.6298
2020-01-28,151.0835
2020-01-29,150.8842
2020-01-30,149.7356
2020-01-31,148.8478
2020-02-03,147.8505
2020-02-04,144.0549
2020-02-05,144.3709
2020-02-06,144.8496
2020-02-07,144.2659
2020-02-10,143.0759
2020-02-11,143.7597
2020-02-12,146.7672
2020-02-13,146.8811
2020-02-14,146.0330
2020-02-17,145.0429
2020-02-18,144.9676
2020-02-19,142.8134
2020-02-20,142.6440
2020-02-21,142.7941
2020-02-24,146.0003
2020-02-25,147.6996
2020-02-26,149.5792
2020-02-27,148.3470
2020-02-28,149.5867
2020-03-02,147.5889
2020-03-03,148.1883
2020-03-04,148.9799
2020-03-05,147.6571
2020-03-06,151.2466
2020-03-09,152.3244
2020-03-10,148.8948
2020-03-11,149.9298
2020-03-12,149.2444
2020-03-13,149.2943
2020-03-16,150.1761
2020-03-17,150.9276
2020-03-18,147.2823
2020-03-19,145.2819
2020-03-20,146.6750
2020-03-23,149.0118
2020-03-24,152.4622
2020-03-25,155.8096
2020-03-26,152.0158
2020-03-27,153.4677
2020-03-30,149.9874
2020-03-31,152.9392
2020-04-01,153.4527
2020-04-02,151.4001
2020-04-03,155.0997
2020-04-06,156.3475
2020-04-07,152.8490
2020-04-08,153.4358
2020-04-09,152.1383
2020-04-10,152.3898
2020-04-13,151.5875
2020-04-14,154.1341
2020-04-15,151.5505
2020-04-16,152.1759
2020-04-17,155.5371
2020-04-20,154.0430
2020-04-21,154.4813
2020-04-22,154.9048
2020-04-23,153.6719
2020-04-24,154.9154
2020-04-27,155.1450
2020-04-28,153.4372
2020-04-29,156.7302
2020-04-30,158.2688
2020-05-01,158.0017
2020-05-04,156.8447
2020-05-05,155.4182
2020-05-06,157.7633
2020-05-07,157.5361
2020-05-08,158.4546
2020-05-11,158.1542
2020-05-12,159.3743
2020-05-13,159.2030
2020-05-14,160.7129
2020-05-15,160.4106
2020-05-18,162.0584
2020-05-19,163.4174
2020-05-20,163.2406
2020-05-21,161.6082
2020-05-22,159.8364
2020-05-25,158.4663
2020-05-26,156.6446
2020-05-27,158.3218
2020-05-28,158.2835
2020-05-29,161.3160
2020-06-01,165.7795
2020-06-02,165.8803
2020-06-03,162.8515
2020-06-04,162.1578
2020-06-05,162.0627
2020-06-08,159.2195
2020-06-09,158.7914
2020-06-10,159.3886
2020-06-11,158.5605
2020-06-12,157.1487
2020-06-15,155.7677
2020-06-16,159.1569
2020-06-17,158.9025
2020-06-18,157.3704
2020-06-19,156.7162
2020-06-22,158.5606
2020-06-23,157.3082
2020-06-24,158.2677
2020-06-25,159.7004
2020-06-26,161.1867
2020-06-29,163.9452
2020-06-30,162.9143
2020-07-01,165.1804
2020-07-02,163.6613
2020-07-03,162.9345
2020-07-06,165.3248
2020-07-07,167.0088
2020-07-08,167.0660
2020-07-09,164.7305
2020-07-10,165.8931
2020-07-13,164.6909
2020-07-14,162.9173
2020-07-15,161.7019
2020-07-16,162.2315
2020-07-17,158.1539
2020-07-20,158.8887
2020-07-21,159.2708
2020-07-22,158.2042
2020-07-23,160.2229
2020-07-24,161.4494
2020-07-27,160.3260
2020-07-28,159.0879
2020-07-29,160.4655
2020-07-30,157.5971
2020-07-31,157.0181
2020-08-03,155.8789
2020-08-04,156.0591
2020-08-05,156.5040
2020-08-06,156.6228
2020-08-07,158.8054
2020-08-10,159.2904
2020-08-11,158.7389
2020-08-12,156.4828
2020-08-13,157.8879
2020-08-14,158.9387
2020-08-17,161.7563
2020-08-18,160.3567
2020-08-19,160.4585
2020-08-20,160.3964
2020-08-21,160.2787
2020-08-24,160.3496
2020-08-25,157.1014
2020-08-26,158.7065
2020-08-27,160.0009
2020-08-28,162.2222
2020-08-31,166.6529
2020-09-01,166.0679
2020-09-02,166.0486
2020-09-03,166.1208
2020-09-04,170.0452
2020-09-07,166.5666
2020-09-08,167.5904
2020-09-09,164.6856
2020-09-10,159.6361
2020-09-11,155.8157
2020-09-14,153.2815
2020-09-15,155.2965
2020-09-16,153.7276
2020-09-17,153.3568
2020-09-18,151.2643
2020-09-21,152.4213
2020-09-22,150.4541
2020-09-23,152.8808
2020-09-24,151.1074
2020-09-25,149.7686
2020-09-28,150.0367
2020-09-29,150.1288
2020-09-30,152.7431
2020-10-01,153.0123
2020-10-02,150.8431
2020-10-05,149.8767
2020-10-06,148.8941
2020-10-07,150.2369
2020-10-08,150.9765
2020-10-09,150.8081
2020-10-12,152.4297
2020-10-13,151.5114
2020-10-14,151.3118
2020-10-15,151.6881
2020-10-16,154.5179
2020-10-19,154.3842
2020-10-20,153.7834
2020-10-21,151.9022
2020-10-22,153.2010
2020-10-23,152.1693
2020-10-26,152.8452
2020-10-27,149.4059
2020-10-28,151.3236
2020-10-29,148.9530
2020-10-30,147.6108
2020-11-02,149.5328
2020-11-03,147.1857
2020-11-04,147.0921
2020-11-05,147.2698
2020-11-06,145.5519
2020-11-09,147.9437
2020-11-10,150.6515
2020-11-11,147.1350
2020-11-12,144.6233
2020-11-13,146.0719
2020-11-16,143.8343
2020-11-17,143.2091
2020-11-18,143.4772
2020-11-19,144.7140
2020-11-20,144.3722
2020-11-23,144.5830
2020-11-24,143.2813
2020-11-25,145.5488
2020-11-26,144.7299
2020-11-27,145.3659
2020-11-30,144.5195
2020-12-01,144.7498
2020-12-02,144.5037
2020-12-03,144.2678
2020-12-04,142.5586
2020-12-07,143.9662
2020-12-08,146.4548
2020-12-09,146.9286
2020-12-10,148.2665
2020-12-11,149.8047
2020-12-14,151.5204
2020-12-15,152.1201
2020-12-16,152.5558
2020-12-17,154.1860
2020-12-18,154.3623
2020-12-21,152.6073
2020-12-22,152.6994
2020-12-23,149.2875
2020-12-24,149.3244
2020-12-25,150.1125
2020-12-28,152.3866
2020-12-29,152.7116
2020-12-30,154.4609
2020-12-31,154.5090
2021-01-01,152.6604
2021-01-04,150.1233
2021-01-05,148.4240
2021-01-06,146.0379
2021-01-07,147.1948
2021-01-08,146.8748
2021-01-11,147.9266
2021-01-12,148.1039
2021-01-13,150.0065
2021-01-14,151.9625
2021-01-15,150.8340
2021-01-18,150.3853
2021-01-19,149.4715
2021-01-20,146.6109
2021-01-21,147.8454
2021-01-22,150.0014
2021-01-25,150.0374
2021-01-26,149.1971
2021-01-27,151.1976
2021-01-28,146.9909
2021-01-29,147.3507
2021-02-01,147.6508
2021-02-02,146.6862
2021-02-03,149.1823
2021-02-04,150.9674
2021-02-05,150.5422
2021-02-08,150.4334
2021-02-09,149.7807
2021-02-10,148.9078
2021-02-11,146.6175
2021-02-12,149.0919
2021-02-15,150.9784
2021-02-16,152.4724
2021-02-17,150.5186
2021-02-18,154.3248
2021-02-19,158.0409
2021-02-22,158.4477
2021-02-23,156.7787
2021-02-24,155.1984
2021-02-25,156.0272
2021-02-26,154.3673
2021-03-01,154.3529
2021-03-02,156.4183
2021-03-03,153.6397
2021-03-04,157.3863
2021-03-05,160.3953
2021-03-08,158.0651
2021-03-09,155.4339
2021-03-10,154.9546
2021-03-11,153.0864
2021-03-12,152.6506
2021-03-15,147.9708
2021-03-16,147.6117
2021-03-17,150.8520
2021-03-18,148.8786
2021-03-19,148.4380
2021-03-22,145.8318
2021-03-23,146.9950
2021-03-24,146.6442
2021-03-25,150.1059
2021-03-26,150.5261
2021-03-29,149.9017
2021-03-30,150.9391
2021-03-31,150.0701
2021-04-01,147.7058
2021-04-02,148.2879
2021-04-05,148.0238
2021-04-06,148.3662
2021-04-07,149.0818
2021-04-08,148.2162
2021-04-09,149.0131
2021-04-12,152.1676
2021-04-13,150.1931
2021-04-14,153.3722
2021-04-15,152.9740
2021-04-16,151.6153
2021-04-19,156.0794
2021-04-20,156.4193
2021-04-21,159.0413
2021-04-22,160.6521
2021-04-23,157.4632
2021-04-26,157.7415
2021-04-27,156.7972
2021-04-28,154.3223
2021-04-29,151.0903
2021-04-30,151.3238
2021-05-03,152.4436
2021-05-04,153.2067
2021-05-05,152.6931
2021-05-06,151.2784
2021-05-07,149.5349
2021-05-10,148.5862
2021-05-11,146.7914
2021-05-12,146.4800
2021-05-13,146.4862
2021-05-14,144.9577
2021-05-17,144.6001
2021-05-18,143.3267
2021-05-19,143.3645
2021-05-20,144.2824
2021-05-21,144.6366
2021-05-24,145.5020
2021-05-25,142.6637
2021-05-26,142.0607
2021-05-27,142.5776
2021-05-28,143.7198
2021-05-31,141.0095
2021-06-01,141.3236
2021-06-02,143.4144
2021-06-03,143.1525
2021-06-04,143.0352
2021-06-07,143.8538
2021-06-08,144.3261
2021-06-09,145.5403
2021-06-10,145.7130
2021-06-11,146.0259
2021-06-14,144.7011
2021-06-15,144.4511
2021-06-16,146.6692
2021-06-17,146.3564
2021-06-18,146.1068
2021-06-21,145.2914
2021-06-22,146.7100
2021-06-23,145.2519
2021-06-24,146.8850
2021-06-25,145.2801
2021-06-28,143.4822
2021-06-29,143.8823
2021-06-30,144.1527
2021-07-01,144.7132
2021-07-02,146.6043
2021-07-05,145.9252
2021-07-06,146.7472
2021-07-07,145.1917
2021-07-08,147.4316
2021-07-09,148.5973
2021-07-12,149.6012
2021-07-13,149.9860
2021-07-14,148.6197
2021-07-15,148.0830
2021-07-16,149.0217
2021-07-19,149.0347
2021-07-20,149.3033
2021-07-21,146.9144
2021-07-22,147.2803
2021-07-23,146.1042
2021-07-26,144.2512
2021-07-27,144.0292
2021-07-28,140.8662
2021-07-29,142.0918
2021-07-30,143.5897
2021-08-02,143.5432
2021-08-03,141.8770
2021-08-04,140.3125
2021-08-05,140.1026
2021-08-06,136.0722
2021-08-09,136.4101
2021-08-10,137.5410
2021-08-11,137.0699
2021-08-12,136.3002
2021-08-13,136.6411
2021-08-16,137.2594
2021-08-17,139.1052
2021-08-18,139.1801
2021-08-19,138.0723
2021-08-20,137.3518
2021-08-23,137.6953
2021-08-24,140.3104
2021-08-25,139.8157
2021-08-26,138.0942
2021-08-27,136.6961
2021-08-30,133.3008
2021-08-31,133.8707
2021-09-01,131.7263
2021-09-02,129.8182
2021-09-03,126.7812
2021-09-06,125.1206
2021-09-07,126.0137
2021-09-08,124.0707
2021-09-09,121.5052
2021-09-10,121.8037
2021-09-13,121.3437
2021-09-14,122.0115
2021-09-15,123.1345
2021-09-16,123.1611
2021-09-17,121.2822
2021-09-20,121.1405
2021-09-21,121.9062
2021-09-22,121.0920
2021-09-23,119.0417
2021-09-24,120.6546
2021-09-27,120.0916
2021-09-28,119.5400
2021-09-29,119.6009
2021-09-30,121.1178
2021-10-01,121.5394
2021-10-04,121.0920
2021-10-05,122.1216
2021-10-06,125.3068
2021-10-07,127.4333
2021-10-08,128.5027
2021-10-11,126.8129
2021-10-12,132.5629
2021-10-13,130.6982
2021-10-14,130.1566
2021-10-15,129.1048
2021-10-18,131.6662
2021-10-19,132.3720
2021-10-20,130.1471
2021-10-21,130.6063
2021-10-22,131.5049
2021-10-25,131.0441
2021-10-26,129.1669
2021-10-27,128.0841
2021-10-28,127.4533
2021-10-29,127.5286
2021-11-01,126.7734
2021-11-02,127.9321
2021-11-03,126.5144
2021-11-04,123.9260
2021-11-05,122.8658
2021-11-08,124.8936
2021-11-09,124.0742
2021-11-10,127.5988
2021-11-11,128.3919
2021-11-12,126.6386
2021-11-15,125.4110
2021-11-16,125.8171
2021-11-17,124.0790
2021-11-18,127.6540
2021-11-19,126.1766
2021-11-22,127.2477
2021-11-23,129.5177
2021-11-24,129.3891
2021-11-25,127.8839
2021-11-26,127.5055
2021-11-29,128.1002
2021-11-30,129.4870
2021-12-01,129.6163
2021-12-02,127.4795
2021-12-03,127.5847
2021-12-06,126.5943
2021-12-07,123.3179
2021-12-08,122.3248
2021-12-09,120.2609
2021-12-10,121.1460
2021-12-13,124.0108
2021-12-14,126.8162
2021-12-15,125.9842
2021-12-16,125.3176
2021-12-17,126.3931
2021-12-20,128.0429
2021-12-21,127.4402
2021-12-22,127.2625
2021-12-23,130.6732
2021-12-24,130.5462
2021-12-27,129.8274
2021-12-28,130.0554
2021-12-29,131.0014
2021-12-30,129.4370
2021-12-31,129.0922
2022-01-03,127.3264
2022-01-04,126.9417
2022-01-05,129.8411
2022-01-06,131.0380
2022-01-07,130.9340
2022-01-10,129.5095
2022-01-11,129.0666
2022-01-12,130.7350
2022-01-13,129.8953
2022-01-14,132.1974
2022-01-17,130.0603
2022-01-18,129.6489
2022-01-19,132.4014
2022-01-20,129.2533
2022-01-21,131.1376
2022-01-24,128.2659
2022-01-25,128.1679
2022-01-26,127.9433
2022-01-27,129.2494
2022-01-28,124.3978
2022-01-31,121.5744
2022-02-01,120.7873
2022-02-02,120.8791
2022-02-03,119.6218
2022-02-04,119.3427
2022-02-07,117.6819
2022-02-08,117.1526
2022-02-09,115.9993
2022-02-10,116.3758
2022-02-11,117.2248
2022-02-14,119.2777
2022-02-15,118.3760
2022-02-16,117.9618
2022-02-17,118.0669
2022-02-18,117.6865
2022-02-21,117.6505
2022-02-22,115.4823
2022-02-23,116.0341
2022-02-24,114.7967
2022-02-25,113.5148
2022-02-28,111.3876
2022-03-01,112.9748
2022-03-02,112.8200
2022-03-03,114.4121
2022-03-04,114.8222
2022-03-07,112.5117
2022-03-08,111.0843
2022-03-09,112.1299
2022-03-10,111.1352
2022-03-11,109.7164
2022-03-14,109.5150
2022-03-15,109.3172
2022-03-16,108.0245
2022-03-17,107.6361
2022-03-18,107.0522
2022-03-21,103.7590
2022-03-22,104.4178
2022-03-23,103.4343
2022-03-24,105.0862
2022-03-25,103.6692
2022-03-28,101.7371
2022-03-29,103.2193
2022-03-30,101.2888
2022-03-31,100.5477
2022-04-01,101.3003
2022-04-04,100.9317
2022-04-05,98.9587
2022-04-06,99.2134
2022-04-07,99.0136
2022-04-08,100.5704
2022-04-11,101.3128
2022-04-12,105.0356
2022-04-13,102.9944
2022-04-14,103.0003
2022-04-15,101.7146
2022-04-18,103.1564
2022-04-19,104.2065
2022-04-20,105.1825
2022-04-21,104.2347
2022-04-22,103.3358
2022-04-25,100.8517
2022-04-26,102.9526
2022-04-27,103.6131
2022-04-28,103.3217
2022-04-29,104.5119
2022-05-02,105.4868
2022-05-03,106.7549
2022-05-04,104.7089
2022-05-05,103.8452
2022-05-06,104.1217
2022-05-09,104.5989
2022-05-10,105.8336
2022-05-11,104.5862
2022-05-12,104.7791
2022-05-13,107.5852
2022-05-16,108.5127
2022-05-17,109.6807
2022-05-18,109.6903
2022-05-19,110.7355
2022-05-20,113.1679
2022-05-23,113.3486
2022-05-24,115.0494
2022-05-25,113.8777
2022-05-26,114.7203
2022-05-27,116.0015
2022-05-30,114.9915
2022-05-31,116.5433
2022-06-01,115.6360
2022-06-02,114.5553
2022-06-03,114.5900
2022-06-06,117.2830
2022-06-07,117.7554
2022-06-08,119.1151
2022-06-09,118.1069
2022-06-10,118.2542
2022-06-13,116.6222
2022-06-14,115.8599
2022-06-15,117.0585
2022-06-16,117.0418
2022-06-17,119.1173
2022-06-20,118.8657
2022-06-21,118.6211
2022-06-22,120.4761
2022-06-23,119.5766
2022-06-24,117.4338
2022-06-27,119.3049
2022-06-28,119.9357
2022-06-29,116.8576
2022-06-30,116.9572
2022-07-01,116.4276
2022-07-04,118.9023
2022-07-05,117.8999
2022-07-06,117.1157
2022-07-07,115.8734
2022-07-08,114.4445
2022-07-11,113.5188
2022-07-12,111.5988
2022-07-13,110.2533
2022-07-14,108.1627
2022-07-15,106.2536
2022-07-18,104.2987
2022-07-19,103.6796
2022-07-20,102.8619
2022-07-21,101.3806
2022-07-22,101.9947
2022-07-25,101.9682
2022-07-26,101.4720
2022-07-27,100.9392
2022-07-28,102.9007
2022-07-29,103.2295
2022-08-01,103.8511
2022-08-02,100.6614
2022-08-03,99.9036
2022-08-04,97.3327
2022-08-05,96.8658
2022-08-08,97.3304
2022-08-09,96.5738
2022-08-10,97.2054
2022-08-11,96.0433
2022-08-12,96.7374
2022-08-15,94.9646
2022-08-16,94.6966
2022-08-17,95.2037
2022-08-18,95.8461
2022-08-19,95.7302
2022-08-22,97.9889
2022-08-23,97.5327
2022-08-24,97.0358
2022-08-25,93.8533
2022-08-26,95.8754
2022-08-29,95.4813
2022-08-30,94.1641
2022-08-31,95.6866
2022-09-01,97.1357
2022-09-02,97.2928
2022-09-05,95.6484
2022-09-06,96.1596
2022-09-07,95.4731
2022-09-08,94.1621
2022-09-09,95.3709
2022-09-12,92.9606
2022-09-13,93.6228
2022-09-14,94.1686
2022-09-15,96.5161
2022-09-16,96.9234
2022-09-19,94.5600
2022-09-20,93.6413
2022-09-21,93.7437
2022-09-22,94.1734
2022-09-23,95.3117
2022-09-26,93.1006
2022-09-27,92.7616
2022-09-28,93.8706
2022-09-29,95.6396
2022-09-30,97.8058
2022-10-03,97.3789
2022-10-04,98.6924
2022-10-05,100.7509
2022-10-06,102.2314
2022-10-07,103.1516
2022-10-10,104.2090
2022-10-11,103.2544
2022-10-12,101.4939
2022-10-13,102.7232
2022-10-14,102.3280
2022-10-17,102.3259
2022-10-18,101.6478
2022-10-19,101.2008
2022-10-20,101.5156
2022-10-21,100.3030
2022-10-24,100.4173
2022-10-25,100.7457
2022-10-26,100.6841
2022-10-27,99.8176
2022-10-28,100.7915
2022-10-31,103.0885
2022-11-01,102.3774
2022-11-02,103.9265
2022-11-03,105.0685
2022-11-04,101.7566
2022-11-07,100.8594
2022-11-08,100.1219
2022-11-09,101.0929
2022-11-10,101.3537
2022-11-11,101.9628
2022-11-14,102.7737
2022-11-15,101.6977
2022-11-16,100.8189
2022-11-17,99.3715
2022-11-18,99.2000
2022-11-21,99.0897
2022-11-22,99.3247
2022-11-23,98.4894
2022-11-24,99.5920
2022-11-25,100.7197
2022-11-28,102.6209
2022-11-29,103.5294
2022-11-30,103.7927
2022-12-01,104.6632
2022-12-02,105.4622
2022-12-05,104.6708
2022-12-06,106.3236
2022-12-07,108.5499
2022-12-08,111.1596
2022-12-09,111.2419
2022-12-12,111.7100
2022-12-13,112.3036
2022-12-14,112.3359
2022-12-15,113.2063
2022-12-16,113.0777
2022-12-19,112.8506
2022-12-20,115.2685
2022-12-21,115.5329
2022-12-22,115.6625
2022-12-23,116.9234
2022-12-26,117.1714
2022-12-27,117.6187
2022-12-28,117.5663
2022-12-29,115.8819
2022-12-30,115.8756
2023-01-02,114.3315
2023-01-03,114.6561
2023-01-04,113.0670
2023-01-05,114.3467
2023-01-06,115.4111
2023-01-09,115.8361
2023-01-10,115.7337
2023-01-11,116.3486
2023-01-12,113.6420
2023-01-13,112.1824
2023-01-16,112.0178
2023-01-17,112.5174
2023-01-18,112.4459
2023-01-19,111.1261
2023-01-20,111.3393
2023-01-23,110.7685
2023-01-24,109.3832
2023-01-25,109.8505
2023-01-26,109.6085
2023-01-27,111.2171
2023-01-30,112.1406
2023-01-31,113.1648
2023-02-01,113.6376
2023-02-02,112.5211
2023-02-03,111.2935
2023-02-06,109.3641
2023-02-07,113.1771
2023-02-08,111.7470
2023-02-09,111.5011
2023-02-10,111.0543
2023-02-13,110.7150
2023-02-14,109.9742
2023-02-15,107.5434
2023-02-16,106.2894
2023-02-17,104.5494
2023-02-20,104.4235
2023-02-21,103.5993
2023-02-22,102.7779
2023-02-23,103.0768
2023-02-24,102.3886
2023-02-27,103.5664
2023-02-28,103.1193
2023-03-01,103.4306
2023-03-02,101.8186
2023-03-03,102.6535
2023-03-06,102.1869
2023-03-07,102.7206
2023-03-08,103.1600
2023-03-09,102.9780
2023-03-10,103.2794
2023-03-13,102.8347
2023-03-14,104.5285
2023-03-15,105.7336
2023-03-16,106.3793
2023-03-17,104.9066
2023-03-20,103.5560
2023-03-21,102.7639
2023-03-22,102.4944
2023-03-23,103.0780
2023-03-24,102.0017
2023-03-27,103.4749
2023-03-28,103.5122
2023-03-29,101.0449
2023-03-30,100.5006
2023-03-31,97.4148
2023-04-03,96.5669
2023-04-04,95.9613
2023-04-05,95.2888
2023-04-06,94.9472
2023-04-07,94.5283
2023-04-10,93.8848
2023-04-11,95.6073
2023-04-12,97.0315
2023-04-13,95.7328
2023-04-14,97.2037
2023-04-17,95.3433
2023-04-18,94.4415
2023-04-19,96.2000
2023-04-20,93.6452
2023-04-21,94.3209
2023-04-24,92.9320
2023-04-25,92.8010
2023-04-26,92.6297
2023-04-27,94.5457
2023-04-28,93.6560
2023-05-01,93.6082
2023-05-02,94.3422
2023-05-03,94.0872
2023-05-04,93.1889
2023-05-05,93.1523
2023-05-08,93.2864
2023-05-09,94.3056
2023-05-10,93.2683
2023-05-11,92.7953
2023-05-12,93.1843
2023-05-15,93.0270
2023-05-16,92.8497
2023-05-17,92.8602
2023-05-18,92.1143
2023-05-19,91.2596
2023-05-22,91.7712
2023-05-23,90.5944
2023-05-24,91.8901
2023-05-25,92.1588
2023-05-26,90.7764
2023-05-29,91.1135
2023-05-30,91.3253
2023-05-31,92.1896
2023-06-01,93.5008
2023-06-02,93.1194
2023-06-05,92.3581
2023-06-06,91.7158
2023-06-07,90.6651
2023-06-08,89.8818
2023-06-09,90.2172
2023-06-12,90.2624
2023-06-13,89.7588
2023-06-14,88.9921
2023-06-15,89.3919
2023-06-16,88.8822
2023-06-19,87.8010
2023-06-20,87.6690
